word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
feat,7.511,True,excess,9,4,0.02849,0.007133,3.9943,0.021357,1.4979,14.9786,0.004263,0.039878,6.085,0.0136338002136688,0.030777252437144215,1.0,True,False,excess,True,False,True
一貫,7.3441,True,excess,89,48,0.25641,0.0699,3.6682,0.18651,2.7172,5.0429,0.142336,0.239195,69.3065,8.428965632798645e-17,2.118563899348197e-15,1.419437812563292e-13,True,True,excess,True,True,True
現代,7.3104,True,excess,53,17,0.153846,0.025678,5.9915,0.128169,3.8459,10.7868,0.092546,0.163791,58.5938,1.938312258897596e-14,3.472465791471864e-13,3.264117843983552e-11,True,True,excess,True,True,True
パーティショニング,7.2746,False,excess,5,4,0.017094,0.007133,2.3966,0.009961,0.6657,7.9886,-0.002869,0.02425,1.1347,0.2867694672247564,0.4078714381811569,1.0,False,False,excess,False,False,False
MIME,7.2746,False,excess,7,4,0.022792,0.007133,3.1954,0.015659,1.1412,12.0079,0.00141,0.032753,3.3189,0.06848930890529108,0.12605026906722425,1.0,False,False,excess,False,False,True
TLS,7.1671,True,excess,12,6,0.037037,0.009986,3.709,0.027051,1.5966,10.4892,0.008487,0.048425,7.6944,0.005539229616364816,0.01409072911474071,1.0,True,False,excess,True,False,True
認可,7.0776,True,excess,46,15,0.133903,0.022825,5.8666,0.111079,3.5601,10.8734,0.075413,0.149542,49.6052,1.8801608153649445e-12,2.5952383713725955e-11,3.1661908130745665e-09,True,True,excess,True,True,True
PATCH,6.9635,True,excess,23,8,0.068376,0.012839,5.3257,0.055537,2.6618,12.652,0.02847,0.084075,22.1416,2.5326065365746285e-06,1.3983309533087458e-05,0.004264909407591675,True,True,excess,True,True,True
ルール-rule,6.9239,True,excess,64,140,0.185185,0.201141,0.9207,-0.015956,0.701,1.1864,-0.065824,0.033916,0.3354,0.5625080962010192,0.7021969117883738,1.0,False,False,deficit,False,False,False
Integration,6.8806,True,excess,23,14,0.068376,0.021398,3.1954,0.046978,1.7245,6.2432,0.019902,0.075476,13.0301,0.0003065238676891806,0.001086707775133853,0.5161861931885802,True,False,excess,True,False,True
Foreign,6.8806,True,excess,10,1,0.031339,0.002853,10.9843,0.028486,3.9943,31.9544,0.012818,0.048429,14.0678,0.00017633395729803306,0.0006628267502006421,0.29694638408988766,True,False,excess,True,False,True
長所,6.8806,True,excess,6,5,0.019943,0.008559,2.33,0.011384,0.7989,6.99,-0.002861,0.027055,1.3896,0.23847988091693703,0.35414472615883774,1.0,False,False,excess,False,False,False
チェックポイント-checkpoint,6.8806,False,excess,5,3,0.017094,0.005706,2.9957,0.011388,0.9986,11.9829,-1.6e-05,0.025637,1.9051,0.1675040765463246,0.2616668505603067,1.0,False,False,excess,False,False,False
Green,6.8806,False,excess,5,3,0.017094,0.005706,2.9957,0.011388,0.9986,11.9829,-1.6e-05,0.025637,1.9051,0.1675040765463246,0.2616668505603067,1.0,False,False,excess,False,False,False
セマンティックバージョニング,6.8806,False,excess,5,2,0.017094,0.00428,3.9943,0.012814,1.1983,15.9772,0.001414,0.027099,3.0381,0.08133049726932774,0.14432092455379128,1.0,False,False,excess,False,False,True
シング,6.8806,False,excess,1,2,0.005698,0.00428,1.3314,0.001418,0.3994,5.9915,-0.004284,0.008543,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
進捗,6.7821,True,excess,37,26,0.108262,0.038516,2.8108,0.069746,1.7622,4.6935,0.035545,0.105356,18.2561,1.931086729461193e-05,8.860899325375065e-05,0.03251950052412649,True,True,excess,True,True,True
